Lecture #,Cell Index,Cell Content,User Input,LLM Output,Correctness,Context,Coherence
lec02,55,"mean_3d = np.repeat(mean_2d[:, :, np.newaxis], 3, axis=2)",give another example simple enough but shows the usage,"Location: 56

Summary: Question: Create a new 3D array named `repeated_a` by repeating the 2D array `a` three times along a new axis (axis 2). Do this without using `np.repeat` or similar functions.

Answer:
repeated_a = np.stack([a] * 3, axis=2)",1,0,0
lec02,148,"dogs.query('kind in [""sporting"", ""terrier""] and lifetime_cost < 20000')",give me another example question,"Location: 149

Summary: Question: Use the `.query` method to select rows from the `dogs` DataFrame where the dog's weight is greater than 30 and its kind is 'sporting'.

Answer:
dogs.query('weight > 30 and kind == ""sporting""')",1,1,1
lec02,205,"dogs = pd.read_csv(dog_path, dtype={'lifetime_cost': 'uint32'})
dogs",give an example of some other pro tips,"Location: 206

Summary: Question: Continuing with efficient data loading, demonstrate how to load the `all_dogs.csv` dataset, specifying data types for the 'weight' and 'height' columns to be 'float32' for optimal memory usage. Display the resulting DataFrame.

Answer:
all_dogs = all_dogs.astype({'weight': 'float32', 'height': 'float32'})
all_dogs",1,1,0
lec03,41,penguin_groups.get_group('Chinstrap'),give another example about the groupby object,"Location: 41

Summary: Question: Calculate the average bill length (`bill_length_mm`) for each island using the `penguins_small` DataFrame and the `groupby()` method. Your solution should leverage the `groupby()` method and not use any loops.

Answer:
penguins_small.groupby('island')['bill_length_mm'].mean()",1,1,1
lec03,75,"(penguins
 .groupby('species')
 .aggregate({'bill_length_mm': 'max', 'island': 'unique'})
)",give me a similar example,"Location: 76

Summary: Question: Calculate the minimum `'bill_length_mm'` for each penguin `'species'` and the first observed `'island'` for each species.

Answer:
(penguins
 .groupby('species')
 .aggregate({'bill_length_mm': 'min', 'island': 'first'})
)",1,1,0
lec03,84,"z_mass = (penguins
          .groupby('species')
          ['body_mass_g']
          .transform(z_score))
z_mass",give a transform example that doesn't use z_score,"Location: 85

Summary: Question: Write a function that takes in a pandas Series and returns a Series that is the result of applying a custom transformation to each element in the input series. Use the `.transform` method and the `penguins` DataFrame, focusing on the `bill_length_mm` column grouped by `species`. The transformation should double the values of `bill_length_mm` if greater than 40mm; otherwise leave them unchanged.

Answer:
def double_if_over_40(series):
    return series.apply(lambda x: x * 2 if x > 40 else x)

(penguins
 .groupby('species')
 ['bill_length_mm']
 .transform(double_if_over_40)
) ",1,1,1
,,,make it a transformation that deals with some attribute of the entire column,"Location: 85

Summary: Question: Write a function that takes in a pandas Series and returns a single scalar value representing a transformation applied to the entire Series. Use the `.transform` method and the `penguins` DataFrame, focusing on the `bill_length_mm` column grouped by `species`. The transformation should return the difference between the maximum and minimum bill length for each species.

Answer:
def max_minus_min(series):
    return series.max() - series.min()

(penguins
 .groupby('species')
 ['bill_length_mm']
 .transform(max_minus_min)
) ",1,1,0
lec04,21,"penguins.pivot_table(
    index='species',
    columns='island',
    values='bill_length_mm', # Choice of column here doesn't actually matter!
    aggfunc='count',
)",give another example,"Location: 22

Summary: Question: Use the `pivot_table` method to create a table showing the average body mass of penguins, grouped by species and sex. The resulting table should have species as rows, sex as columns, and average body mass as values.

Answer:
penguins.pivot_table(
    index='species',
    columns='sex',
    values='body_mass_g',
    aggfunc='mean'
)",1,1,1
lec04,83,"nyt_small = nyt.iloc[[11, 12, 14]].reset_index(drop=True)

names_to_keep = ['Julius', 'Karen', 'Noah']
baby_small = (baby
 .query(""Year == 2020 and Name in @names_to_keep"")
 .reset_index(drop=True)
)

dfs_side_by_side(baby_small, nyt_small)",come up with another merge example,"Location: 83

Summary: Question: Create a new DataFrame by merging `baby` and `nyt` DataFrames, selecting only names containing the letter 'a' and the year 2010. Use a left merge to keep all rows from the `baby` DataFrame.

Answer:
names_with_a = baby.query('Name.str.contains(""a"") and Year == 2010').reset_index(drop=True)
nyt_subset = nyt.iloc[[1,2,3]].reset_index(drop=True)
names_with_a.merge(nyt_subset, left_on='Name', right_on='nyt_name', how='left')",0,1,1
lec04,114,"cate_counts = (
    baby
    .merge(nyt, left_on='Name', right_on='nyt_name')
    .groupby(['category', 'Year'])
    ['Count']
    .sum()
    .reset_index()
)
cate_counts",come up with another similar example,"Location: 114

Summary: Question: Create a DataFrame that shows the total number of baby names for each gender in each year. Use the `baby` DataFrame, grouping by `'Gender'` and `'Year'`, and summing the `'Count'` column. The result should be a DataFrame with three columns ('Gender', 'Year', 'Count'). Do not use the `merge` function.

Answer:
baby_gender_counts = (
    baby
    .groupby(['Gender', 'Year'])
    ['Count']
    .sum()
    .reset_index()
)
baby_gender_counts",0,0,0
lec05,54,"# Does the same thing as above!
(
    rest[rest.duplicated(subset=['address'], keep=False)]
    .sort_values('address')
)",show another way of doing this,"Location: 55

Summary: Question: Write code that identifies restaurants with duplicate addresses using a different approach than `rest[rest.duplicated(subset=['address'], keep=False)].sort_values('address')`, but achieves the same result. Use only the `rest` DataFrame.

Answer:
rest[rest['address'].isin(rest['address'][rest['address'].duplicated(keep=False)])].sort_values('address')",1,1,0
lec05,91,"dow_counts = insp['date'].dt.dayofweek.value_counts()
fig = px.bar(dow_counts)
fig.update_xaxes(tickvals=np.arange(7), ticktext=['Mon', 'Tues', 'Wed', 'Thurs', 'Fri', 'Sat', 'Sun'])",give another example question,"Location: 92

Summary: Question: Create a bar chart showing the counts of inspections for each day of the week, using the `date` column in the `df` DataFrame. The chart should have days of the week explicitly labeled on the x-axis.

Answer:
day_counts = df['date'].dt.dayofweek.value_counts()
# Create bar chart
# ...",0,1,1
lec05,98,wide_example.melt(ignore_index=False),give another melt example using previous dataset,"Location: 98

Summary: Question: Using the `rest` DataFrame, create a long-form DataFrame from the columns 'name', 'address', and 'zip'. Use the `melt` function with `ignore_index=True`. What is the resulting DataFrame?

Answer:
rest[['name', 'address', 'zip']].melt(ignore_index=True)",1,1,1
lec06,18,"# Draws 100 elements from a population in which 50% are group 0 and 50% are group 1.
# This sampling is done WITH replacement.
# In other words, each sampled element has a 50% chance of being group 0 and a 50% chance of being group 1.
np.random.multinomial(100, [0.5, 0.5])",give another example about multinomial,"Location: 19

Summary: Question: Suppose we have a dataset of baby birth weights, categorized by whether the mother smoked during pregnancy. Using `np.random.multinomial`, simulate drawing 200 samples from the distribution of smoking statuses in the `baby` DataFrame, assuming sampling with replacement. The probabilities should reflect the proportion of smokers and non-smokers in the dataset.

Answer:
N_SAMPLES = 200
smoker_counts = baby['Maternal Smoker'].value_counts()
probabilities = smoker_counts / smoker_counts.sum()
np.random.multinomial(N_SAMPLES, probabilities)",1,1,1
